accent,gender,speaker,num_comparisons,mean_similarity,median_similarity,min_similarity,max_similarity,std_similarity
gla_001,male,wxr001,595,0.9671608638362724,0.9704979062080383,0.8892809748649597,0.9924704432487488,0.015752301184782
ilo_001,female,csg001,171,0.9828543579369261,0.9833296537399292,0.963106632232666,0.9959738850593567,0.006348698683332088
ilo_001,female,hxa001,276,0.9805623804745467,0.9818037748336792,0.9509714841842651,0.9960927367210388,0.008613797386385354
ilo_001,female,jrg001,231,0.9816113909085592,0.9827138185501099,0.9441933035850525,0.9964754581451416,0.008442119514701914
ilo_001,female,jxb002,231,0.988760101072716,0.9888303279876709,0.9775604605674744,0.9972969889640808,0.004065390893397552
ilo_001,female,jxo001,253,0.9836829851267366,0.9854557514190674,0.9518648386001587,0.9968874454498291,0.007706920575090103
ilo_001,female,ovs001,528,0.9734981295963129,0.9763319194316864,0.9148432016372681,0.9942662119865417,0.013297276444181166
ilo_001,female,rlg001,231,0.983394151642209,0.9841448664665222,0.9545798897743225,0.9961531162261963,0.006906851921523166
ilo_001,female,rva001,210,0.9871091453802018,0.9886972308158875,0.9585208296775818,0.9968792796134949,0.006131597917820676
ilo_001,female,rxb001,120,0.9821210980415345,0.9840526282787323,0.9443294405937195,0.9970506429672241,0.009776451143427276
ilo_001,female,seg001,210,0.9875327382768904,0.9889984428882599,0.9684441685676575,0.9976122379302979,0.005957480258237246
ilo_001,female,wsf001,136,0.9829029208597015,0.9837856590747833,0.9593936204910278,0.9955810904502869,0.007531182470886605
ilo_001,male,adl001,406,0.9783036873258394,0.9805777668952942,0.9256551265716553,0.996547281742096,0.010841598798396466
ilo_001,male,drb001,276,0.9780306146628615,0.9796990156173706,0.943831205368042,0.9965168237686157,0.00975722740300593
ilo_001,male,dxa001,171,0.9819740429956313,0.9829308986663818,0.9579102396965027,0.9962678551673889,0.006976750692846854
ilo_001,male,hfi001,231,0.9756953677573761,0.9788440465927124,0.9170322418212891,0.9930275082588196,0.012181929638013796
ilo_001,male,jum001,406,0.9855648608043276,0.9867474734783173,0.9660714268684387,0.9974642395973206,0.006123201943799043
ilo_001,male,nam001,351,0.9566843788168709,0.9757522344589233,0.7392171025276184,0.9957305192947388,0.0518108054784178
ilo_001,male,pad001,190,0.977308147831967,0.9789215624332428,0.9494446516036987,0.9941273927688599,0.00897617928085439
ilo_001,male,ped001,171,0.9742596358583685,0.9763903021812439,0.9294437170028687,0.9942629933357239,0.012193019661124824
ilo_001,male,sxm002,406,0.9635414463545888,0.969110906124115,0.88311767578125,0.9952905178070068,0.021841246542498867
ilo_001,male,yaa001,78,0.9874697564504086,0.9880566000938416,0.960801362991333,0.9964625835418701,0.006059651860481039
lan_001,female,acf001,253,0.982469777344715,0.9841558933258057,0.951215386390686,0.9960318207740784,0.008061648077089445
lan_001,female,cxf001,91,0.9824909489233415,0.9828978180885315,0.9586759209632874,0.9952729940414429,0.006914654950881488
lan_001,female,drm001,325,0.9821687313226554,0.983661949634552,0.9568443894386292,0.9960223436355591,0.00698198354941456
lan_001,female,gtb001,231,0.9793207947309915,0.9805290699005127,0.9565960764884949,0.9974328279495239,0.008117666843221013
lan_001,female,gxf001,231,0.9827950772268947,0.984351396560669,0.9474110007286072,0.9959362745285034,0.00774555934215508
lan_001,female,jxd001,231,0.9875332705386273,0.9879528284072876,0.9673030972480774,0.9961227178573608,0.004528674979342139
lan_001,female,lrg001,153,0.9795547641959845,0.9812860488891602,0.9436244964599609,0.996297299861908,0.010232704884118222
lan_001,female,mjh001,120,0.9862757469216983,0.9874738156795502,0.967770516872406,0.9968880414962769,0.005959112620572116
lan_001,female,mmg001,231,0.9798502857550914,0.981071412563324,0.9467848539352417,0.9954206347465515,0.00870565164493253
lan_001,female,zlt001,120,0.9846965397397677,0.9852330386638641,0.9622308015823364,0.9977691173553467,0.006617066876344499
lan_001,male,asp002,153,0.9821472662726259,0.9836121201515198,0.95762038230896,0.9959820508956909,0.007933010905326415
lan_001,male,axp001,231,0.9775379421391013,0.9797202348709106,0.9364932775497437,0.9931541681289673,0.010421847316894184
lan_001,male,dxc002,496,0.9718869115796781,0.9740358293056488,0.8889234066009521,0.9960099458694458,0.01498085998416599
lan_001,male,gxb001,105,0.9709278424580892,0.9748139381408691,0.9108377695083618,0.9933031797409058,0.016087799951438345
lan_001,male,gxi002,105,0.9872229326338995,0.9875264763832092,0.9703858494758606,0.9960181713104248,0.005406298830968799
lan_001,male,jrh001,435,0.9668995670888616,0.9754630923271179,0.813876211643219,0.9958601593971252,0.02792817203354243
lan_001,male,jxe001,253,0.9809827512431993,0.9822731614112854,0.9407498836517334,0.9950747489929199,0.00874942963190628
lan_001,male,mrm001,190,0.9785518429781261,0.9802495837211609,0.9532738327980042,0.9957222938537598,0.009009108085819338
lan_001,male,pdk001,378,0.9784013032913208,0.9800626635551453,0.9447864294052124,0.997063398361206,0.009917558133511474
lan_001,male,rjr001,406,0.9833922695937415,0.9850690066814423,0.9434356689453125,0.9981176853179932,0.008245020597137897
lan_001,male,tfg001,561,0.9781818132774502,0.9803846478462219,0.9258298277854919,0.9960001707077026,0.011635914302691685
lvp_001,female,cxm001,325,0.9706545323591966,0.9733325242996216,0.9086948037147522,0.9959275126457214,0.013275878802546017
lvp_001,female,eah001,435,0.9814135389766474,0.9824048280715942,0.9562613368034363,0.9973544478416443,0.00749929085899266
lvp_001,female,jrk001,231,0.9857991301652157,0.9865578413009644,0.9647201299667358,0.9971208572387695,0.005977099166819647
lvp_001,female,jxh001,210,0.982503422669002,0.983960896730423,0.9539741277694702,0.9963660836219788,0.008054316617912591
lvp_001,female,kjd001,780,0.9759850807679005,0.9775884747505188,0.9296905398368835,0.9962716102600098,0.010616435611463502
lvp_001,female,klm001,171,0.9869848569931342,0.9882085919380188,0.9664626121520996,0.9965599775314331,0.005427811804462026
lvp_001,female,kxe001,528,0.978346578889724,0.9810749888420105,0.9321457147598267,0.9963796138763428,0.010761512285507811
lvp_001,female,kxh001,300,0.9801086507240931,0.981224775314331,0.9435131549835205,0.9948841333389282,0.007864886344004063
lvp_001,female,lfm001,171,0.9794903073394507,0.9825116395950317,0.9384675025939941,0.9951563477516174,0.010231246724707474
lvp_001,female,lms001,153,0.9867273689874636,0.9871976375579834,0.9708207249641418,0.9952701926231384,0.004596256007907434
lvp_001,male,aaj001,276,0.9655953930771869,0.970182329416275,0.8978813886642456,0.9939607381820679,0.018143961810599442
lvp_001,male,cts001,231,0.9690415288978841,0.9711786508560181,0.9091546535491943,0.9938145279884338,0.014708060499923722
lvp_001,male,dgf001,120,0.98350410759449,0.984557718038559,0.9626792669296265,0.9961021542549133,0.006785376937850151
lvp_001,male,dwl001,435,0.976986339996601,0.9794425964355469,0.9249669313430786,0.9963392019271851,0.010838588198740597
lvp_001,male,jco001,378,0.9807443065302712,0.9821459949016571,0.9453164339065552,0.9962923526763916,0.00810248333366523
lvp_001,male,jcp001,435,0.9662131586294065,0.9692673683166504,0.8866208791732788,0.9945171475410461,0.016483769506959123
lvp_001,male,mfl001,903,0.9688047571963778,0.9718382358551025,0.8969535827636719,0.9936140775680542,0.015380203098590157
lvp_001,male,pam001,780,0.9744505442869968,0.976300984621048,0.9249628186225891,0.9964310526847839,0.010676755850367092
lvp_001,male,sjb001,120,0.9848729734619458,0.9855676293373108,0.963776707649231,0.9964834451675415,0.006424970731294363
lvp_001,male,wrq001,496,0.9745451159054234,0.977626621723175,0.9047659635543823,0.9964606761932373,0.013264743025167095
ncl_001,female,ext001,153,0.983627475554647,0.9846214056015015,0.9544106721878052,0.9963991045951843,0.007694973542380649
ncl_001,female,jxh002,406,0.9829583680394836,0.9862365424633026,0.9310997724533081,0.9972497820854187,0.011022372910032515
ncl_001,female,kjb001,171,0.9824577249281587,0.9843704700469971,0.9507324695587158,0.9958853721618652,0.008136888312177295
ncl_001,female,law001,136,0.985164707636132,0.9857631623744965,0.9613198041915894,0.9966489672660828,0.0058911553348664
ncl_001,female,mlg001,190,0.9786666095256805,0.9795810580253601,0.9488339424133301,0.995198667049408,0.009221987199359417
ncl_001,female,mlg002,253,0.9739978829391389,0.9766162633895874,0.9316498041152954,0.9950972199440002,0.011187829300713315
ncl_001,female,pah001,300,0.9853112284342448,0.9872477650642395,0.9420230388641357,0.997683048248291,0.007534631150846639
ncl_001,female,scn001,253,0.9815389883848047,0.982822835445404,0.9556270241737366,0.9969977736473083,0.008123886532828643
ncl_001,female,sxp001,190,0.9820783370419552,0.9836743772029877,0.957841157913208,0.9953796863555908,0.007112319245637368
ncl_001,female,tkb001,300,0.9739353899161021,0.975680947303772,0.9304649829864502,0.9958922266960144,0.01156198023568625
ncl_001,male,dxc001,153,0.986692505334717,0.988195538520813,0.9585223197937012,0.9975354671478271,0.007694339804911331
ncl_001,male,ggc001,378,0.9792464873778126,0.9806082844734192,0.9332631230354309,0.9957464933395386,0.008877156759553756
ncl_001,male,jon001,561,0.9751859739714978,0.978138267993927,0.8857038021087646,0.9959886074066162,0.014070755135766765
ncl_001,male,jxb001,406,0.9829934189472292,0.9840680956840515,0.9486477971076965,0.9967443346977234,0.00785884063370064
ncl_001,male,jxm001,210,0.9801330117952256,0.983759731054306,0.9448553323745728,0.995764434337616,0.010302173211917405
ncl_001,male,krt001,171,0.9675588789041977,0.9703055024147034,0.9123177528381348,0.9919797778129578,0.014534572701179584
ncl_001,male,kxr001,231,0.9841631212275782,0.984613299369812,0.9633483290672302,0.9962272644042969,0.005284908325663437
ncl_001,male,pxa001,171,0.9756185164925648,0.9785909652709961,0.9121630191802979,0.9956027269363403,0.013260732264664189
ncl_001,male,txp001,231,0.9773182770906589,0.9791740775108337,0.9455936551094055,0.9936389923095703,0.009568873833653574
ncl_001,male,txr001,325,0.980560030570397,0.9820810556411743,0.9508401155471802,0.9961208701133728,0.008581861139460613
nwa_001,female,aaj002,351,0.9857083913947102,0.9863349199295044,0.9664502143859863,0.9967834949493408,0.0062444171474110985
nwa_001,female,acl001,136,0.9886190356577144,0.9890159666538239,0.9776097536087036,0.9971570372581482,0.003875473731233722
nwa_001,female,bea001,210,0.9844125625633058,0.9849166572093964,0.9640072584152222,0.9964979887008667,0.00552889337787749
nwa_001,female,bej001,120,0.9834220026930173,0.9844037890434265,0.9560837149620056,0.9964147806167603,0.007336042665982482
nwa_001,female,ehl001,171,0.987643459735558,0.9873470067977905,0.9723994731903076,0.9965951442718506,0.004141210527419345
nwa_001,female,lej001,190,0.9874214577047449,0.9889346361160278,0.9663237929344177,0.9971734285354614,0.005614570803338308
nwa_001,female,lrc001,210,0.9809502073696681,0.9820918440818787,0.9527538418769836,0.9957866668701172,0.007932621238595733
nwa_001,female,lxp001,300,0.984518424073855,0.9849568009376526,0.9651137590408325,0.9956801533699036,0.005623339478304327
nwa_001,female,oxp001,231,0.9876723157895075,0.9888206720352173,0.9609776139259338,0.9983825087547302,0.005488444481726488
nwa_001,female,paj001,435,0.9722224502727903,0.9750666618347168,0.9122053384780884,0.9949666857719421,0.01258718482114964
nwa_001,female,sxt001,120,0.9901948620875677,0.9905771017074585,0.9802918434143066,0.9973702430725098,0.0036231818974958876
nwa_001,male,cpr001,171,0.9837576614485847,0.9847617745399475,0.9592435956001282,0.9965159296989441,0.006828918009501667
nwa_001,male,cse001,190,0.9784661158135063,0.9824876487255096,0.9134469032287598,0.9955036044120789,0.0144440386955392
nwa_001,male,dro001,210,0.9797889113426208,0.9813822507858276,0.9471532702445984,0.9947765469551086,0.008824594961893178
nwa_001,male,exj001,253,0.9819488407594884,0.9832306504249573,0.9507162570953369,0.9960670471191406,0.008109317392063718
nwa_001,male,ixr001,300,0.9810265841086706,0.9822428524494171,0.9543287754058838,0.9964768886566162,0.007848478636703592
nwa_001,male,kmj001,561,0.9775650484251679,0.9795002937316895,0.9285374283790588,0.995532751083374,0.010004750367970203
nwa_001,male,lwe001,190,0.9755862220337517,0.9757808148860931,0.9479069709777832,0.9934520721435547,0.009910189372981592
nwa_001,male,rwl001,153,0.9759752306283689,0.9773519039154053,0.9453216791152954,0.9953701496124268,0.010180533756782073
